"","Date","Plant_ID","LWC","Water_Pot","Leaf_T","Air_T","Delta_T","VPD","Genotype","Average_Thickness","Par_Total","Wind_Speed","uniqueID"
"1",2016-05-19,"a18",0.988,-1.1,35.66666667,25.05,10.61666667,4.929541768,"R-270",0.256666667,570.6349,2.18,"a18-2016-05-19"
"2",2016-05-19,"f05",0.864,-0.57,28.44444444,25.05,3.39444444,4.929541768,"52-276",0.293333333,570.6349,2.18,"f05-2016-05-19"
"3",2016-05-19,"f08",0.788,-0.76,30.88888889,25.05,5.83888889,4.929541768,"52-276",0.293333333,570.6349,2.18,"f08-2016-05-19"
"4",2016-05-19,"g11",1.364,-0.87,31.55555556,25.05,6.50555556,4.929541768,"R-270",0.27,570.6349,2.18,"g11-2016-05-19"
"5",2016-05-20,"b12",0.613,-1.4,38.66666667,27.71,10.95666667,5.686574565,"52-276",0.256666667,569.8452,2.39,"b12-2016-05-20"
"6",2016-05-20,"c14",0.761,-1.2,36.77777778,27.71,9.06777778,5.686574565,"R-270",0.316666667,569.8452,2.39,"c14-2016-05-20"
"7",2016-05-20,"h06",0.773,-0.72,27.88888889,27.71,0.17888889,5.686574565,"R-270",0.303333333,569.8452,2.39,"h06-2016-05-20"
"8",2016-05-24,"a18",1.102,-0.22,28.05555556,27.71,0.34555556,5.5353112,"R-270",0.346666667,572.9439,2.472,"a18-2016-05-24"
"9",2016-05-24,"b06",1.126,-0.65,26.5,25.07,1.43,5.5353112,"R-270",0.44,572.9439,2.472,"b06-2016-05-24"
"10",2016-05-24,"f05",0.993,-0.52,29.44444444,25.07,4.37444444,5.5353112,"52-276",0.32,572.9439,2.472,"f05-2016-05-24"
"11",2016-05-24,"f08",0.926,-0.63,26.27777778,25.07,1.20777778,5.5353112,"52-276",0.323333333,572.9439,2.472,"f08-2016-05-24"
"12",2016-05-24,"g11",1.141,-0.53,28.55555556,25.07,3.48555556,5.5353112,"R-270",0.37,572.9439,2.472,"g11-2016-05-24"
"13",2016-05-26,"b12",0.84,-0.2,23.5,21.73,1.77,4.800243482,"52-276",0.276666667,570.5632,1.244,"b12-2016-05-26"
"14",2016-05-26,"c14",1.158,-0.67,24,21.73,2.27,4.800243482,"R-270",0.28,570.5632,1.244,"c14-2016-05-26"
"15",2016-05-26,"e03",0.885,-0.48,22.77777778,21.73,1.04777778,4.800243482,"52-276",0.316666667,570.5632,1.244,"e03-2016-05-26"
"16",2016-05-26,"e04",1.328,-0.43,25.61111111,21.73,3.88111111,4.800243482,"R-270",0.373333333,570.5632,1.244,"e04-2016-05-26"
"17",2016-05-26,"h06",2.053,-0.46,23.55555556,21.73,1.82555556,4.800243482,"R-270",0.266666667,570.5632,1.244,"h06-2016-05-26"
"18",2016-05-26,"h09",1.241,-0.38,27.22222222,21.73,5.49222222,4.800243482,"R-270",0.32,570.5632,1.244,"h09-2016-05-26"
"19",2016-05-31,"a18",1.194,-0.36,28.11111111,28.73,-0.61888889,6.29443186,"R-270",0.326666667,570.5632,1.279,"a18-2016-05-31"
"20",2016-05-31,"b06",2.026,-0.45,27.88888889,28.73,-0.84111111,6.29443186,"R-270",0.25,575.5215,1.279,"b06-2016-05-31"
"21",2016-05-31,"e10",0.946,-0.46,32.5,28.73,3.77,6.29443186,"52-276",0.263333333,575.5215,1.279,"e10-2016-05-31"
"22",2016-05-31,"f05",0.918,-0.56,25.05555556,28.73,-3.67444444,6.29443186,"52-276",0.29,575.5215,1.279,"f05-2016-05-31"
"23",2016-05-31,"f08",1.017,-0.55,30.16666667,28.73,1.43666667,6.29443186,"52-276",0.286666667,575.5215,1.279,"f08-2016-05-31"
"24",2016-05-31,"g11",1.148,-0.47,27.33333333,28.73,-1.39666667,6.29443186,"R-270",0.286666667,575.5215,1.279,"g11-2016-05-31"
"25",2016-06-01,"b12",0.811,-1.05,29.5,29.73,-0.23,6.363409918,"52-276",0.303333333,564.4459,2.322,"b12-2016-06-01"
"26",2016-06-01,"c14",1.12,-0.51,26.77777778,29.73,-2.95222222,6.363409918,"R-270",0.286666667,564.4459,2.322,"c14-2016-06-01"
"27",2016-06-01,"e03",0.789,-0.53,26.5,29.73,-3.23,6.363409918,"52-276",0.276666667,564.4459,2.322,"e03-2016-06-01"
"28",2016-06-01,"e04",1.298,-0.69,25.05555556,29.73,-4.67444444,6.363409918,"R-270",0.37,564.4459,2.322,"e04-2016-06-01"
"29",2016-06-01,"h06",1.306,-0.9,25.22222222,29.73,-4.50777778,6.363409918,"R-270",0.313333333,564.4459,2.322,"h06-2016-06-01"
"30",2016-06-01,"h09",1.104,-0.57,29.66666667,29.73,-0.06333333,6.363409918,"52-276",0.283333333,564.4459,2.322,"h09-2016-06-01"
"31",2016-06-08,"a18",2.72,-0.27,34.44444444,33.57,0.87444444,6.526124191,"R-270",0.243333333,564.3954,1.309,"a18-2016-06-08"
"32",2016-06-08,"b06",2.303,-0.29,28.11111111,33.57,-5.45888889,6.526124191,"R-270",0.25,564.3954,1.309,"b06-2016-06-08"
"33",2016-06-08,"e10",1.241,-0.87,32.44444444,33.57,-1.12555556,6.526124191,"52-276",0.31,564.3954,1.309,"e10-2016-06-08"
"34",2016-06-08,"f05",1.909,-0.33,31.83333333,33.57,-1.73666667,6.526124191,"52-276",0.316666667,564.3954,1.309,"f05-2016-06-08"
"35",2016-06-08,"f08",1.611,-0.55,31.22222222,33.57,-2.34777778,6.526124191,"52-276",0.346666667,564.3954,1.309,"f08-2016-06-08"
"36",2016-06-08,"g11",2.731,-0.31,31.05555556,33.57,-2.51444444,6.526124191,"R-270",0.196666667,564.3954,1.309,"g11-2016-06-08"
"37",2016-06-09,"b12",1.436,-0.46,33.05555556,30.99,2.06555556,5.652529837,"52-276",0.293333333,557.0929,1.132,"b12-2016-06-09"
"38",2016-06-09,"c14",2.308,-0.3,31.83333333,30.99,0.84333333,5.652529837,"R-270",0.343333333,557.0929,1.132,"c14-2016-06-09"
"39",2016-06-09,"e03",1.422,-0.51,31.5,30.99,0.51,5.652529837,"52-276",0.356666667,557.0929,1.132,"e03-2016-06-09"
"40",2016-06-09,"e04",1.737,-0.25,29.33333333,30.99,-1.65666667,5.652529837,"R-270",0.333333333,557.0929,1.132,"e04-2016-06-09"
"41",2016-06-09,"h06",1.65,-0.27,27.16666667,30.99,-3.82333333,5.652529837,"R-270",0.31,557.0929,1.132,"h06-2016-06-09"
"42",2016-06-09,"h09",2.207,-0.54,28.16666667,30.99,-2.82333333,5.652529837,"52-276",0.263333333,557.0929,1.132,"h09-2016-06-09"
"43",2016-06-15,"a18",1.821,-0.56,31.05555556,31.16,-0.10444444,6.781026696,"R-270",0.19,571.8975,3.821,"a18-2016-06-15"
"44",2016-06-15,"b06",1.425,-0.68,30.88888889,31.16,-0.27111111,6.781026696,"R-270",0.266666667,571.8975,3.821,"b06-2016-06-15"
"45",2016-06-15,"e10",1.609,-0.58,31.55555556,31.16,0.39555556,6.781026696,"52-276",0.296666667,571.8975,3.821,"e10-2016-06-15"
"46",2016-06-15,"f05",1.594,-0.48,30.5,31.16,-0.66,6.781026696,"52-276",0.296666667,571.8975,3.821,"f05-2016-06-15"
"47",2016-06-15,"f08",1.148,-0.52,36.72222222,31.16,5.56222222,6.781026696,"52-276",0.343333333,571.8975,3.821,"f08-2016-06-15"
"48",2016-06-15,"g11",2.03,-0.65,32.72222222,31.16,1.56222222,6.781026696,"R-270",0.286666667,571.8975,3.821,"g11-2016-06-15"
"49",2016-06-16,"b12",1.658,-0.8,32.16666667,30.91,1.25666667,6.983322907,"52-276",0.26,574.5063,3.072,"b12-2016-06-16"
"50",2016-06-16,"c14",1.853,-0.6,31.22222222,30.91,0.31222222,6.983322907,"R-270",0.253333333,574.5063,3.072,"c14-2016-06-16"
"51",2016-06-16,"e03",1.735,-0.95,26.5,30.91,-4.41,6.983322907,"52-276",0.306666667,574.5063,3.072,"e03-2016-06-16"
"52",2016-06-16,"e04",1.939,-0.5,29,30.91,-1.91,6.983322907,"R-270",0.22,574.5063,3.072,"e04-2016-06-16"
"53",2016-06-16,"h06",1.97,-0.49,30.22222222,30.91,-0.68777778,6.983322907,"R-270",0.213333333,574.5063,3.072,"h06-2016-06-16"
"54",2016-06-16,"h09",1.893,-0.77,33.38888889,30.91,2.47888889,6.983322907,"52-276",0.203333333,574.5063,3.072,"h09-2016-06-16"
"55",2016-06-23,"a18",1.742,-0.29,30.44444444,32.22,-1.77555556,6.551690341,"R-270",0.213333333,391.3776,2.058,"a18-2016-06-23"
"56",2016-06-23,"b06",1.514,-0.7,26.77777778,32.22,-5.44222222,6.551690341,"R-270",0.203333333,391.3776,2.058,"b06-2016-06-23"
"57",2016-06-23,"e10",1.385,-0.58,27.27777778,32.22,-4.94222222,6.551690341,"52-276",0.263333333,391.3776,2.058,"e10-2016-06-23"
"58",2016-06-23,"f05",1.417,-0.54,25.44444444,32.22,-6.77555556,6.551690341,"52-276",0.246666667,391.3776,2.058,"f05-2016-06-23"
"59",2016-06-23,"f08",1.488,-0.5,28.11111111,32.22,-4.10888889,6.551690341,"52-276",0.256666667,391.3776,2.058,"f08-2016-06-23"
"60",2016-06-23,"g11",1.853,-0.9,27.61111111,32.22,-4.60888889,6.551690341,"R-270",0.22,391.3776,2.058,"g11-2016-06-23"
"61",2016-06-24,"b12",1.727,-1.35,28.05555556,33.6,-5.54444444,6.418864133,"52-276",0.283333333,736.6464,2.966,"b12-2016-06-24"
"62",2016-06-24,"c14",1.767,-0.48,26.61111111,33.6,-6.98888889,6.418864133,"R-270",0.226666667,736.6464,2.966,"c14-2016-06-24"
"63",2016-06-24,"e03",1.3,-1.2,28.44444444,33.6,-5.15555556,6.418864133,"52-276",0.313333333,736.6464,2.966,"e03-2016-06-24"
"64",2016-06-24,"e04",2,-0.33,28.5,33.6,-5.1,6.418864133,"R-270",0.28,736.6464,2.966,"e04-2016-06-24"
"65",2016-06-24,"h06",1.846,-0.65,26.55555556,33.6,-7.04444444,6.418864133,"R-270",0.293333333,736.6464,2.966,"h06-2016-06-24"
"66",2016-06-24,"h09",1.759,-0.45,27.66666667,33.6,-5.93333333,6.418864133,"52-276",0.223333333,736.6464,2.966,"h09-2016-06-24"
"67",2016-06-27,"a18",2.172,-0.48,31.05555556,32.78,-1.72444444,6.168079689,"R-270",0.233333333,549.0254,1.659,"a18-2016-06-27"
"68",2016-06-27,"b06",1.912,-0.45,27.27777778,32.78,-5.50222222,6.168079689,"R-270",0.24,549.0254,1.659,"b06-2016-06-27"
"69",2016-06-27,"e10",1.721,-0.44,27.88888889,32.78,-4.89111111,6.168079689,"52-276",0.356666667,549.0254,1.659,"e10-2016-06-27"
"70",2016-06-27,"f05",1.784,-0.61,28.61111111,32.78,-4.16888889,6.168079689,"52-276",0.256666667,549.0254,1.659,"f05-2016-06-27"
"71",2016-06-27,"g11",2.125,-0.41,27.11111111,32.78,-5.66888889,6.168079689,"R-270",0.256666667,549.0254,1.659,"g11-2016-06-27"
"72",2016-06-28,"b12",1.146,-0.56,27.77777778,35.55,-7.77222222,6.641062354,"52-276",0.27,361.1764,1.894,"b12-2016-06-28"
"73",2016-06-28,"c14",1.839,-0.42,34.94444444,35.55,-0.60555556,6.641062354,"R-270",0.236666667,361.1764,1.894,"c14-2016-06-28"
"74",2016-06-28,"e03",1.244,-0.49,31.83333333,35.55,-3.71666667,6.641062354,"52-276",0.28,361.1764,1.894,"e03-2016-06-28"
"75",2016-06-28,"e04",1.824,-0.4,36.5,35.55,0.95,6.641062354,"R-270",0.243333333,361.1764,1.894,"e04-2016-06-28"
"76",2016-06-28,"f08",1.474,-0.6,31.72222222,35.55,-3.82777778,6.641062354,"52-276",0.263333333,361.1764,1.894,"f08-2016-06-28"
"77",2016-06-28,"h06",2.318,-0.39,32.44444444,35.55,-3.10555556,6.641062354,"R-270",0.19,361.1764,1.894,"h06-2016-06-28"
"78",2016-06-28,"h09",1.643,-0.42,34.16666667,35.55,-1.38333333,6.641062354,"52-276",0.206666667,361.1764,1.894,"h09-2016-06-28"
"79",2016-07-05,"e10",1.875,-0.49,32.11111111,33.6,-1.48888889,6.608588267,"52-276",0.21,561.0308,2.302,"e10-2016-07-05"
"80",2016-07-05,"f05",1.824,-0.43,34.11111111,33.6,0.51111111,6.608588267,"52-276",0.223333333,561.0308,2.302,"f05-2016-07-05"
"81",2016-07-05,"f08",1.512,-0.34,31.05555556,33.6,-2.54444444,6.608588267,"52-276",0.243333333,561.0308,2.302,"f08-2016-07-05"
"82",2016-07-06,"b12",0.951,-0.34,30.94444444,33.6,-2.65555556,6.608588267,"52-276",0.26,561.0308,2.302,"b12-2016-07-06"
"83",2016-07-06,"e03",1.135,-0.42,32.61111111,33.6,-0.98888889,6.608588267,"52-276",0.23,561.0308,2.302,"e03-2016-07-06"
"84",2016-07-06,"h09",1.148,-0.32,34.16666667,33.6,0.56666667,6.608588267,"52-276",0.186666667,561.0308,2.302,"h09-2016-07-06"
"85",2016-07-05,"a18",1.591,-0.66,34.88888889,33.6,1.288888889,6.608588267,"R-270",0.233333333,561.0308,2.302,"a18-2016-07-05"
"86",2016-07-05,"b06",1.722,-0.46,29.83333333,33.6,-3.766666667,6.608588267,"R-270",0.226666667,561.0308,2.302,"b06-2016-07-05"
"87",2016-07-05,"g11",2.269,-0.42,33.61111111,33.6,0.011111111,6.608588267,"R-270",0.176666667,561.0308,2.302,"g11-2016-07-05"
"88",2016-07-06,"c14",0.854,-0.32,25.11111111,33.6,-8.488888889,6.608588267,"R-270",0.25,561.0308,2.302,"c14-2016-07-06"
"89",2016-07-06,"e04",1.178,-0.36,33.61111111,33.6,0.011111111,6.608588267,"R-270",0.283333333,561.0308,2.302,"e04-2016-07-06"
